,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
0,MCU,LTV1,PHF3,TP53INP1,TFCP2L1,ZBTB41,CTDSP1,DLL1,SGPP2,PRDX6,CSNK1D,IMP4,SCML4,SMAP1,CASP8,PCMTD1,KIFAP3,VIL1,CLIC1,BTG2,COPS7B,PARD3B,MAPK1,KIF21B,TFCP2L1,SULF1,UQCRFS1,PITPNA,PIGR,VIL1,POLR2A,SOCS2,CASP8,GLUL,PPP1R15B,TRIM25,SGPP2,CEP170B,TRIM6,DST,GAS5,SEMA4C,PEA15,FASTKD2,LAMC2,RDH10,PIGR,ACADL,PMAIP1,NIF3L1,MPRIP,AGFG1,PCMTD1,PPP1R12A,B3GNT7,FAM8A1,FAM120A,SLFN5,MGAT4A,SNRNP200,COL6A3,CNNM4,CAPN10,LIPG,UTP14C,CGGBP1,FASTKD2,ZBTB18,COL3A1,MKNK2,MDM4,BLMH,PSMB4,RGS16,MGAT5,DOT1L,ATF6,MRPL44,VIL1,SCML4,KRT20
1,ZNF274,RNF167,ICOSLG,WDR11,SLC40A1,ATP10B,MYO1A,DNAJC5,NUAK2,MICU1,EXT1,LAMB3,IRF1,DYRK2,NHSL1,ITSN2,CNPPD1,CDK13,HNF4A,LYPD8,GGA3,ACSL3,ARHGAP12,PEA15,TTLL6,PHF3,TM9SF3,CNOT6,SLC5A8,AGAP1,MAPK14,LASP1,DCAF8,ABL2,ABL2,CSNK1A1,AGFG1,FAM8A1,SGK3,PARD3B,OSMR,PITPNA,MNT,AGFG1,AFF4,KIF21B,INSIG2,EIF4EBP2,TM9SF3,ATG16L1,MAP2K3,CLASP1,RAB23,CPEB4,TRIP12,SOCS6,KCNMA1,LAMB1,ASCC3,PGAP2,SYNE2,ZCCHC2,GDA,VIL1,SEMA4C,ARHGEF17,ACTR3,DYRK2,CFLAR,SCAMP1,PSME4,SLFN12L,UBXN1,EIF4EBP2,DEDD,ATP5O,ELMSAN1,SATB2,MAP7,TRIB2,DDX5
2,ZNF367,HNRNPAB,MED1,DCBLD1,LAMC2,JARID2,SKP1,TRPC4AP,PPP1R15B,SREBF1,AHNAK,CDK18,TMEM170B,ZZEF1,MISP,GPR137B,SMPDL3A,PABPC1,KIF1B,ANKFY1,RAD51B,CAPN10,HM13,PERP,SLC25A10,FAM168B,TPCN1,ESYT2,SLC36A1,MGAT5,NPC1,KRT20,PLXNB2,ZBTB18,F11R,RELL1,IVNS1ABP,ATP13A3,COL3A1,AGFG1,FOSL2,CDK12,SNX13,CLASP1,RNF167,SLC40A1,MDM4,FAM84A,DR1,SEPT2,TP53,TFCP2L1,ELK4,FLII,HNF1B,STRBP,MAPRE2,GMDS,SYNGR2,H19,PGAP2,DESI2,DTD1,ERBB3,SCAMP4,KRT20,EEF2,BCAS3,ELK4,TFRC,TMPRSS2,HIF1A,CCNL1,HPCAL1,STX7,GAPDHS,ZNF367,MYO19,FOXO3,LPIN1,DCP1A
3,GNL3,SSR1,TOB2,CREBBP,BAZ2A,PIM3,MYO19,CA1,SCYL3,FASN,PARS2,PRPF8,GMDS,TNS3,H1F0,ZFR,TNFAIP3,PLAGL2,FZD4,TRIM25,ENC1,NABP1,TP53INP2,AIM1,SPTLC2,RGS2,SH3BP4,SEC23A,FOXA1,PIGR,IFIT2,SIPA1L1,SLC38A2,VCPIP1,ESRRG,MT-ND1,TOR1AIP2,EIF1AX,VIL1,EIF4E2,CCDC71L,JARID2,FOS,PLEKHA6,DNMBP,TRAK2,RGS2,FAM208A,WFS1,RAB3GAP1,TUG1,MGAT4A,DENND1B,PIP5K1B,KLF6,IRAK2,EGR1,BCL2L11,SRSF5,MYO6,SNW1,ARFGEF1,P2RX4,LGALS8,REEP3,DCP2,MORC2,AHNAK,IGSF8,ATP5J,IMPAD1,LARP4B,PLXNA1,NIPBL,AP1B1,NFAT5,ERBB2IP,LMO7,R3HDM4,APP,RAD21
4,FADS2,IFNGR2,SON,IMPAD1,MLLT6,PIM1,SPAG9,CCNE2,XKR4,TMEM170B,FAF1,MYO1D,PTPRG,NUP88,BRWD1,TRIM31,MKNK2,RAP2C,MEF2A,ACLY,DENND6A,PTPRK,NDUFA4,LYPD8,DEGS2,AKT3,HN1,DICER1,TNRC6B,LMAN2L,BTAF1,SPTLC2,DCP2,NCOA2,CDK19,AGFG1,SEMA4C,RBMS1,TTLL4,KIF21B,ZNF217,ARID2,PGP,GAS5,CA1,IGFBP5,MAP2K3,WAPL,LYPD8,ADIPOR1,ESYT2,INO80D,KIFAP3,SERTAD3,CBX5,HNRNPA2B1,NPC1,UBE2J1,SOS2,STX7,DAD1,MDM4,PLAT,CYB5R3,TUG1,FOSL2,PRRC2B,SLC12A6,PTP4A1,DUSP5,UTRN,MAL2,CUL4B,TAT,SYNGR2,FBXO31,APPL1,PHF20L1,NEDD1,TGFBI,SLC3A2
5,BCL2L11,DDI2,ERCC3,SESN2,DCAF7,DUSP1,NMT1,ARPC2,AFF3,ARRDC3,SDAD1,ACLY,TMBIM6,NPEPPS,WDR33,FEM1C,SKP1,CSRP2,RDH10,OCLN,HLA-A,SMPDL3A,RRM1,ATP2A3,AKT1,ICOSLG,CDC42BPB,LARP4B,KMT2D,HSPD1,NCOA3,ZNF770,SHTN1,NABP1,RNF145,LBR,CEP350,MBNL1,AGFG1,PVRL4,ARAP1,NRROS,HSP90AB1,FH,UGCG,IKBKE,SPECC1,PDPK1,RNF213,DCAF8,CTSB,IHH,TRAM2,ANKRD27,DUSP5,CLPX,SMAD4,ITGB1,LIPG,GINM1,STX17,HNRNPU,GCNT4,VDR,VCL,ING4,ZDHHC21,HSD17B12,COL5A2,PLA2G2A,DDIT4,PDCD4,LBR,MARVELD3,DLST,SGK1,CARD10,PRR5,TTC9,TM9SF3,CELF1
6,RPS3,HOXA10,CXXC5,CDKN1B,MYL7,ABCA1,ARRDC3,RAET1E,VPS4B,NEDD9,MAT2A,RHBDF2,ABCG1,CANT1,CYSTM1,ABHD17B,TRIM16,IRF1,RNASEL,USF3,PPP1CA,GCC2,CCND1,CLUH,ZFP36L2,ERBB3,PLA2G6,SSR1,SYNJ1,IFNGR1,BTBD8,PLAGL2,IKBKAP,CDK18,LYPD8,CLINT1,SGK1,SH3GLB1,B3GNT7,ARFGEF1,BCKDHA,NEU1,MALAT1,PHLDA1,STK40,NVL,VEZF1,ACTR1A,STC2,EPHA4,CDIP1,BTG2,PLEKHM3,CAB39,SLC12A6,IVNS1ABP,TMEM127,PLEKHA6,MALAT1,MAP2K4,CD38,MTHFD1L,ERO1L,RALGAPA2,LAPTM4B,WNK1,TNFRSF1B,TRPM7,SLC40A1,SEPT2,CCM2,ZNF655,MT-RNR2,MTMR12,ZFYVE26,CANX,SLC26A2,GNA14,FOXA1,HCFC1,CPNE1
7,GTF2E2,ZFP1,OTUD7B,ERN2,PRKCA,TMEM86A,ARF4,GMFB,DCBLD1,MYLK,SERTAD3,PTPN21,TMEM241,DICER1,YWHAB,PLCH1,NCOR1,PIK3R1,ATP10B,TPD52,ST6GALNAC6,MKNK2,KDM6A,PITPNA,ZBP1,UPP1,SMAGP,HACD1,PIM1,OSTM1,AMPD3,EPS15,PUS1,BTG2,CDK12,DICER1,CS,NCOA2,PPP1R15B,NAB1,GNAI2,CEP192,LPAR6,DDIT4,NRP2,DNAJB12,TNS3,ADIPOR2,CCDC71L,PTPN4,TAF7,LAMC2,BTG2,TOR1AIP2,RET,FH,SNRPB,SQSTM1,PUS1,HIST1H3G,DMBT1,ARID5B,PRR5,ATP6V1B2,EP300,NDUFC2,DDX54,YTHDF3,COL6A3,CDK2,LIMK2,OTUD4,,ASPH,MAP3K9,CRYL1,TRIM2,HIF1AN,STON2,,TGS1
8,ATG16L1,RPL10,CEBPA,PDCD6IP,SOS2,ATP1B1,BRD1,MAL2,ZWINT,NAA50,WDR11,ARID2,SPG20,NEDD9,PTPRJ,UNC13B,DHX33,DNAJC3,SREK1,STK40,SSFA2,SLC36A1,LAD1,PELP1,DDAH1,CTDNEP1,USP8,STRBP,CRNKL1,SEC63,EXPH5,DEPDC5,TCAF2,DOT1L,LGALSL,ICE1,SEPT10,NDUFS2,KIF21B,ANKRD44,RTN4,TOR2A,MYH9,HK1,TFCP2L1,HERC4,ITGA3,GLRX3,SYPL1,FAM20B,PDCD4,DHX9,TOR1AIP1,NCL,TRIM6,PURB,MBNL1,KPNB1,AAK1,GMDS,CDK1,APPL2,PCIF1,HEATR6,FAM83H,DSP,ARPP19,RAPGEF2,MPZL1,ARHGAP5,CLTC,ICK,,TGFBRAP1,AREL1,CRB3,TTC39A,PSD4,NUPL1,,VRK3
9,COL5A2,PHF3,RBBP6,PDE4D,VIPAS39,SLC16A5,DCP2,AGO2,HSP90B1,AHNAK,ALDOA,KHSRP,TRIM2,UBQLN1,YTHDF3,CLCN3,SRD5A1,ABCG1,ABHD4,PGLYRP1,RAB14,ARRB2,MFSD4,FASN,PREB,TAF15,ZMYND8,GON4L,B4GALT5,SMPDL3A,MT-RNR1,KCTD10,MUC2,EEA1,RSAD2,CYB5R3,REEP3,NUDT4,TOR1AIP2,TSN,MEX3A,RBM38,FERMT1,PLEKHJ1,EEA1,MIDN,PUM2,CD81,DEK,ATP1B1,PDLIM1,ATP1B1,ATP1B1,SGK1,CLPX,EIF5A,EPB41L4B,ARRDC3,PDE3A,CTSL,RAPGEFL1,APAF1,RHOC,MMD,CELSR1,AKAP13,IMPDH2,PSMB4,SGK1,PPP4R1,CANT1,TMEM45B,,ATP1B1,ZNF274,CSNK1A1,MET,FMNL2,RICTOR,,BAX
